Slide_ID,Similarity
505,1
48,0.9675247789549928
522,0.9665335181444814
521,0.9647731088631346
530,0.963946166471589
12,0.9637186413578892
518,0.959899796115785
22,0.9539421265575838
37,0.9538617627670452
506,0.9532796472581734
2,0.9511969203350668
519,0.9504223595388792
43,0.9488651308725712
46,0.9482711524544428
1,0.9480828034404816
85,0.9472787971011996
507,0.9464970096979132
508,0.9451960868931606
55,0.9447719883590469
130,0.9447015895668368
515,0.9443434213620074
92,0.94313482367036
36,0.942578526
516,0.9422428820045464
69,0.9421793236478676
28,0.9415613903470614
51,0.9408859424285996
30,0.9407359687114958
545,0.9402394922502736
47,0.9396679020502068
4,0.9396397372917356
16,0.9396184241334364
525,0.9394199982703634
41,0.9385436312006854
96,0.9384370012442408
5,0.9371791417583146
25,0.937080669400075
80,0.9368577083614528
17,0.9367508577288972
360,0.936129516955736
19,0.93584505918391
540,0.9354602060095444
42,0.9344162928490716
44,0.9337078360175152
45,0.9332975167202622
148,0.9331606927065464
352,0.9329586896186626
82,0.9327381394511796
9,0.9317304439563896
117,0.9314169099088984
49,0.9307922882193324
356,0.9305444853824214
33,0.9295664413311332
101,0.9293728820072646
129,0.9288664792330252
13,0.9288533841040248
67,0.9284148402577642
401,0.9281924225863616
120,0.9271992344150504
76,0.9263369788940232
20,0.9260798768543812
86,0.925422841047821
68,0.9244460120404256
53,0.9234925412746644
39,0.9218788857845642
385,0.9203261216092966
75,0.9202714026837928
513,0.919090407462325
316,0.9180610765798372
23,0.9164879357493688
54,0.9159106803118532
21,0.915030155594903
97,0.9141773610169018
11,0.9140835396575124
10,0.913969498448258
127,0.913865078093288
99,0.9137820762214472
355,0.9133952259493986
119,0.9129614861667542
137,0.9124326528261656
317,0.9122721693672198
81,0.9119213689777916
547,0.9117717012898604
89,0.9116358962146004
62,0.9104596798436012
145,0.9104463016063888
351,0.9104373422633636
121,0.91039649752621
141,0.9099166166186736
83,0.9095716849976746
98,0.9082331547659738
77,0.9075992764787768
